iter	Passed	Remaining
219	7123	25257
220	7157	25230
221	7191	25201
222	7225	25175
223	7259	25150
224	7293	25122
225	7326	25091
226	7365	25080
227	7399	25055
228	7439	25048
229	7479	25038
230	7513	25011
231	7546	24981
232	7580	24954
233	7613	24922
234	7630	24840
235	7665	24815
236	7699	24786
237	7735	24766
238	7788	24798
239	7824	24776
240	7859	24752
241	7896	24734
242	7932	24711
243	7970	24695
244	8006	24672
245	8044	24655
246	8079	24631
247	8116	24610
248	8153	24591
249	8187	24561
250	8221	24532
251	8255	24502
252	8288	24471
253	8322	24443
254	8357	24415
255	8390	24385
256	8424	24356
257	8458	24326
258	8498	24314
259	8532	24286
260	8567	24257
261	8600	24227
262	8636	24201
263	8670	24171
264	8703	24139
265	8738	24112
266	8771	24081
267	8805	24051
268	8839	24020
269	8872	23988
270	8906	23958
271	8941	23931
272	8974	23899
273	9009	23871
274	9042	23839
275	9080	23818
276	9129	23828
277	9160	23789
278	9196	23765
279	9230	23735
280	9265	23708
281	9302	23684
282	9338	23658
283	9372	23629
284	9405	23597
285	9441	23571
286	9477	23546
287	9512	23515
288	9546	23486
289	9580	23455
290	9615	23426
291	9648	23395
292	9682	23363
293	9716	23333
294	9749	23300
295	9783	23269
296	9818	23239
297	9851	23206
298	9884	23175
299	9918	23143
300	9947	23100
301	9978	23063
302	10010	23027
303	10045	22997
304	10078	22965
305	10109	22928
306	10141	22892
307	10172	22855
308	10204	22819
309	10236	22783
310	10268	22748
311	10302	22717
312	10335	22686
313	10368	22651
314	10399	22614
315	10431	22579
316	10463	22544
317	10497	22513
318	10532	22483
319	10565	22452
320	10600	22422
321	10633	22389
322	10665	22354
323	10698	22320
324	10730	22286
325	10762	22251
326	10794	22215
327	10826	22180
328	10859	22147
329	10889	22109
330	10920	22071
331	10952	22036
332	10985	22003
333	11017	21969
334	11049	21933
335	11081	21899
336	11112	21862
337	11143	21826
338	11176	21792
339	11208	21758
340	11241	21724
341	11273	21689
342	11306	21657
343	11341	21628
344	11375	21596
345	11409	21565
346	11442	21532
347	11477	21503
348	11510	21469
349	11540	21432
350	11573	21399
351	11606	21366
352	11639	21333
353	11673	21301
354	11705	21267
355	11736	21231
356	11769	21197
357	11801	21163
358	11832	21127
359	11866	21095
360	11900	21065
361	11936	21037
362	11972	21009
363	12007	20980
364	12041	20949
365	12075	20918
366	12111	20890
367	12146	20860
368	12187	20840
369	12220	20808
370	12252	20773
371	12285	20739
372	12319	20708
373	12353	20676
374	12384	20640
375	12415	20604
376	12446	20568
377	12478	20533
378	12512	20501
379	12544	20468
380	12577	20433
381	12609	20400
382	12641	20365
383	12673	20330
384	12705	20295
385	12737	20261
386	12771	20229
387	12803	20195
388	12835	20161
389	12868	20128
390	12899	20091
391	12931	20056
392	12964	20023
393	12997	19991
394	13028	19955
395	13061	19921
396	13094	19889
397	13127	19855
398	13158	19820
399	13192	19788
400	13229	19762
401	13262	19729
402	13294	19694
403	13325	19658
404	13364	19634
405	13396	19600
406	13429	19566
407	13463	19534
408	13494	19500
409	13524	19462
410	13557	19428
411	13590	19395
412	13623	19362
413	13655	19328
414	13689	19296
415	13721	19262
416	13753	19228
417	13785	19194
418	13818	19161
419	13851	19128
420	13885	19097
421	13919	19065
422	13954	19034
423	13987	19001
424	14023	18972
425	14056	18940
426	14104	18927
427	14136	18892
428	14169	18859
429	14202	18826
430	14234	18792
431	14265	18756
432	14298	18723
433	14332	18691
434	14364	18657
435	14396	18623
436	14427	18587
437	14460	18553
438	14490	18517
439	14523	18484
440	14557	18452
441	14592	18422
442	14624	18387
443	14656	18353
444	14687	18318
445	14719	18284
446	14751	18250
447	14785	18217
448	14816	18182
449	14849	18149
450	14881	18114
451	14914	18082
452	14949	18051
453	14982	18018
454	15014	17984
455	15047	17951
456	15079	17916
457	15111	17882
458	15142	17848
459	15174	17813
460	15206	17779
461	15240	17748
462	15275	17717
463	15308	17683
464	15341	17650
465	15373	17616
466	15405	17583
467	15438	17549
468	15472	17517
469	15504	17483
470	15535	17448
471	15567	17414
472	15600	17381
473	15631	17346
474	15663	17312
475	15698	17281
476	15730	17246
477	15761	17212
478	15793	17178
479	15826	17145
480	15860	17113
481	15892	17079
482	15927	17048
483	15959	17015
484	15991	16980
485	16023	16947
486	16055	16912
487	16086	16877
488	16120	16845
489	16157	16817
490	16189	16783
491	16221	16748
492	16252	16714
493	16284	16680
494	16316	16645
495	16350	16614
496	16383	16581
497	16415	16547
498	16458	16524
499	16489	16489
500	16521	16455
501	16553	16421
502	16586	16388
503	16622	16358
504	16654	16324
505	16685	16290
506	16717	16255
507	16748	16221
508	16780	16186
509	16813	16154
510	16846	16121
511	16879	16088
512	16911	16054
513	16943	16020
514	16975	15986
515	17007	15952
516	17041	15921
517	17076	15889
518	17108	15855
519	17139	15821
520	17170	15786
521	17202	15752
522	17234	15718
523	17268	15686
524	17302	15654
525	17347	15632
526	17383	15602
527	17415	15568
528	17452	15538
529	17485	15506
530	17519	15473
531	17550	15439
532	17583	15406
533	17615	15371
534	17646	15337
535	17678	15303
536	17709	15269
537	17743	15237
538	17776	15204
539	17808	15170
540	17841	15137
541	17872	15102
542	17903	15068
543	17936	15035
544	17969	15001
545	18001	14968
546	18033	14934
547	18063	14898
548	18095	14864
549	18128	14832
550	18160	14798
551	18194	14766
552	18228	14734
553	18260	14700
554	18292	14667
555	18325	14634
556	18358	14601
557	18391	14568
558	18429	14539
559	18461	14505
560	18494	14472
561	18525	14438
562	18557	14404
563	18591	14372
564	18626	14340
565	18659	14307
566	18691	14274
567	18724	14240
568	18756	14207
569	18788	14173
570	18819	14139
571	18852	14106
572	18886	14074
573	18919	14041
574	18955	14010
575	18987	13976
576	19018	13942
577	19049	13908
578	19082	13875
579	19117	13843
580	19148	13809
581	19179	13775
582	19212	13741
583	19245	13708
584	19276	13674
585	19308	13641
586	19341	13608
587	19374	13575
588	19404	13540
589	19436	13507
590	19468	13472
591	19499	13438
592	19532	13405
593	19565	13372
594	19597	13339
595	19629	13305
596	19661	13272
597	19693	13238
598	19724	13204
599	19757	13171
600	19793	13140
601	19825	13106
602	19857	13073
603	19888	13039
604	19922	13007
605	19953	12972
606	19985	12939
607	20029	12914
608	20066	12883
609	20101	12851
610	20135	12819
611	20169	12786
612	20201	12753
613	20236	12722
614	20271	12690
615	20303	12656
616	20338	12625
617	20376	12595
618	20411	12563
619	20448	12533
620	20486	12503
621	20528	12475
622	20591	12460
623	20636	12434
624	20679	12407
625	20733	12387
626	20755	12347
627	20787	12313
628	20820	12280
629	20853	12247
630	20886	12214
631	20921	12181
632	20954	12148
633	20986	12114
634	21021	12083
635	21056	12051
636	21093	12020
637	21130	11989
638	21163	11956
639	21197	11923
640	21231	11890
641	21264	11857
642	21296	11824
643	21329	11791
644	21363	11758
645	21396	11724
646	21427	11690
647	21460	11657
648	21494	11624
649	21528	11592
650	21566	11561
651	21600	11529
652	21633	11496
653	21667	11463
654	21699	11429
655	21733	11396
656	21766	11363
657	21799	11330
658	21832	11297
659	21865	11263
660	21898	11230
661	21931	11197
662	21966	11165
663	21998	11131
664	22031	11098
665	22063	11064
666	22094	11030
667	22127	10997
668	22167	10968
669	22201	10934
670	22234	10902
671	22267	10868
672	22299	10835
673	22331	10801
674	22365	10768
675	22399	10735
676	22433	10703
677	22466	10669
678	22498	10636
679	22530	10602
680	22564	10569
681	22597	10536
682	22632	10504
683	22670	10473
684	22705	10441
685	22738	10407
686	22774	10376
687	22807	10342
688	22840	10309
689	22874	10276
690	22909	10244
691	22943	10211
692	22976	10178
693	23009	10145
694	23042	10111
695	23075	10079
696	23109	10046
697	23141	10012
698	23175	9979
699	23207	9946
700	23240	9912
701	23291	9887
702	23325	9854
703	23359	9821
704	23393	9788
705	23424	9754
706	23455	9720
707	23487	9686
708	23520	9653
709	23557	9621
710	23589	9588
711	23620	9554
712	23652	9520
713	23685	9487
714	23717	9453
715	23749	9420
716	23784	9387
717	23816	9354
718	23849	9321
719	23881	9287
720	23912	9253
721	23944	9219
722	23977	9186
723	24010	9153
724	24042	9119
725	24075	9086
726	24106	9052
727	24139	9018
728	24170	8985
729	24203	8951
730	24237	8919
731	24270	8885
732	24301	8852
733	24333	8818
734	24366	8785
735	24398	8751
736	24432	8718
737	24466	8685
738	24498	8652
739	24531	8619
740	24567	8587
741	24599	8553
742	24630	8519
743	24663	8486
744	24696	8453
745	24728	8419
746	24761	8386
747	24793	8352
748	24825	8319
749	24858	8286
750	24892	8253
751	24927	8220
752	24959	8187
753	24992	8154
754	25024	8120
755	25055	8086
756	25086	8053
757	25119	8019
758	25154	7987
759	25186	7953
760	25217	7919
761	25249	7886
762	25282	7853
763	25312	7819
764	25345	7785
765	25378	7752
766	25411	7719
767	25442	7685
768	25474	7652
769	25506	7618
770	25538	7585
771	25570	7551
772	25603	7518
773	25635	7485
774	25666	7451
775	25699	7418
776	25731	7384
777	25763	7351
778	25803	7320
779	25836	7287
780	25869	7254
781	25901	7220
782	25933	7187
783	25964	7153
784	25996	7120
785	26051	7092
786	26083	7059
787	26113	7025
788	26145	6992
789	26178	6958
790	26210	6925
791	26243	6892
792	26276	6859
793	26311	6826
794	26344	6793
795	26376	6759
796	26408	6726
797	26440	6692
798	26472	6659
799	26505	6626
800	26542	6594
801	26574	6560
802	26606	6527
803	26638	6494
804	26670	6460
805	26702	6427
806	26734	6393
807	26768	6360
808	26800	6327
809	26832	6294
810	26865	6260
811	26896	6227
812	26928	6193
813	26959	6160
814	26994	6127
815	27026	6094
816	27058	6060
817	27088	6027
818	27120	5993
819	27152	5960
820	27185	5927
821	27218	5893
822	27250	5860
823	27286	5828
824	27318	5794
825	27355	5762
826	27392	5730
827	27426	5697
828	27458	5664
829	27490	5630
830	27522	5597
831	27555	5564
832	27587	5530
833	27620	5497
834	27654	5464
835	27687	5431
836	27718	5397
837	27750	5364
838	27782	5331
839	27813	5297
840	27846	5264
841	27880	5231
842	27913	5198
843	27945	5165
844	27977	5131
845	28008	5098
846	28040	5065
847	28073	5032
848	28107	4999
849	28140	4965
850	28172	4932
851	28203	4899
852	28234	4865
853	28266	4832
854	28299	4799
855	28332	4766
856	28367	4733
857	28399	4700
858	28433	4667
859	28466	4634
860	28501	4601
861	28536	4568
862	28574	4536
863	28626	4506
864	28660	4473
865	28695	4440
866	28729	4407
867	28763	4374
868	28795	4340
869	28828	4307
870	28866	4275
871	28898	4241
872	28930	4208
873	28964	4175
874	28998	4142
875	29030	4109
876	29062	4076
877	29093	4042
878	29125	4009
879	29157	3975
880	29189	3942
881	29223	3909
882	29256	3876
883	29288	3843
884	29320	3809
885	29362	3777
886	29394	3744
887	29428	3711
888	29462	3678
889	29494	3645
890	29528	3612
891	29561	3579
892	29592	3545
893	29623	3512
894	29656	3479
895	29690	3446
896	29722	3413
897	29755	3379
898	29787	3346
899	29819	3313
900	29853	3280
901	29885	3247
902	29918	3213
903	29950	3180
904	29982	3147
905	30014	3114
906	30046	3080
907	30078	3047
908	30111	3014
909	30145	2981
910	30178	2948
911	30210	2915
912	30242	2881
913	30273	2848
914	30305	2815
915	30338	2782
916	30371	2748
917	30404	2715
918	30435	2682
919	30467	2649
920	30499	2616
921	30531	2582
922	30564	2549
923	30598	2516
924	30629	2483
925	30661	2450
926	30701	2417
927	30735	2384
928	30769	2351
929	30805	2318
930	30846	2286
931	30886	2253
932	30918	2220
933	30950	2187
934	30986	2154
935	31019	2120
936	31053	2087
937	31086	2054
938	31124	2021
939	31160	1988
940	31193	1955
941	31225	1922
942	31257	1889
943	31292	1856
944	31327	1823
945	31363	1790
946	31396	1757
947	31428	1723
948	31460	1690
949	31493	1657
950	31528	1624
951	31560	1591
952	31592	1558
953	31624	1524
954	31656	1491
955	31688	1458
956	31720	1425
957	31753	1392
958	31787	1358
959	31819	1325
960	31852	1292
961	31884	1259
962	31914	1226
963	31947	1193
964	31980	1159
965	32012	1126
966	32044	1093
967	32076	1060
968	32107	1027
969	32140	994
970	32173	960
971	32208	927
972	32241	894
973	32272	861
974	32303	828
975	32335	795
976	32368	761
977	32400	728
978	32434	695
979	32466	662
980	32498	629
981	32532	596
982	32563	563
983	32598	530
984	32631	496
985	32667	463
986	32700	430
987	32731	397
988	32763	364
989	32795	331
990	32828	298
991	32862	265
992	32895	231
993	32929	198
994	32961	165
995	32993	132
996	33025	99
997	33056	66
998	33089	33
999	33122	0
